sent|ortho|SAMPA
shd436|HAY CINCO HUEVOS en el NIDO del ÁRBOL|a i T i n k o g u e b o s e n e l n i d o d e l a r b o l
shd437|Las FUNDAS de PIEL ESTÁN MUY de MODA|l a s f u n d a s d e p i e l e s t a n m u i d e m o d a
shd438|Un JARRÓN de ORO es a la VEZ RARO y CARO|u n x a rr o n d e o r o e s a l a b e T rr a r o i k a r o
shd439|Los PECES COGEN la LOMBRIZ MUY PRONTO|l o s p e T e s k o x e n l a l o m b r i T m u i p r o n t o
shd440|El MUSGO VERDE CRECE en el LADO NORTE|e l m u s g o b e r d e k r e T e e n e l l a d o n o r t e
shd441|PON BIEN el NUEVO FOCO en el TECHO|p o n b i e n e l n u e b o f o k o e n e l t e tS o
shd442|Al HACER la COMPRA, NO te DEJES la SAL|a l a T e r l a k o m p r a n o t e d e x e s l a s a l
shd443|Un LÁPIZ con MINA BLANDA es MUCHO MEJOR|u n l a p i T k o n m i n a b l a n d a e s m u tS o m e x o r
shd444|En ESA FINCA se SEMBRÓ MAÍZ y TRIGO|e n e s a f i n k a s e s e m b r o m a i T i t r i g o
shd445|El CAMIÓN TUVO que PARAR por la FUERTE LLUVIA|e l k a m i o n t u b o k e p a r a r p o r l a f u e r t e L u b i a
shd446|ECHA SAL ANTES de FREÍR el HUEVO|e tS a s a l a n t e s d e f r e i r e l g u e b o
shd447|El COLOR de la PARED de la SALA ERA TRISTE|e l k o l o r d e l a p a r e d d e l a s a l a e r a t r i s t e
shd448|Las HOJAS del PINO no se CAEN en TODO el AÑO|l a s o x a s d e l p i n o n o s e k a e n e n t o d o e l a J o
shd449|El CARRO IBA BIEN sobre TRES RUEDAS|e l k a rr o i b a b i e n s o b r e t r e s rr u e d a s
shd450|El HIELO CAUSÓ ALGÚN DESLIZ que OTRO|e l jj e l o k a u s o a l g u n d e s l i T k e o t r o
shd451|El PINO y el HAYA son lo MEJOR para HACER MUEBLES|e l p i n o i e l a jj a s o n l o m e x o r p a r a a T e r m u e b l e s
shd452|Se TUMBÓ al SOL en la HIERBA del PARQUE GRANDE|s e t u m b o a l s o l e n l a jj e r b a d e l p a r k e g r a n d e
shd453|En el BARCO HAY MAPAS en la CAJA FUERTE|e n e l b a r k o a i m a p a s e n l a k a x a f u e r t e
shd454|La CUERDA UNIÓ los SIETE LIBROS en UNO|l a k u e r d a u n i o l o s s i e t e l i b r o s e n u n o
shd455|DALE un TROZO de PAN al RATÓN para COMER|d a l e u n t r o T o d e p a n a l rr a t o n p a r a k o m e r
shd456|El CIELO en el ESTE se TIÑE de ROJO y NEGRO|e l T i e l o e n e l e s t e s e t i J e d e rr o x o i n e g r o
shd457|Una PIZCA de SAL DA SABOR al GUISO|u n a p i T k a d e s a l d a s a b o r a l g i s o
shd458|La RUEDA GIRÓ MUY LENTA en la NIEVE|l a rr u e d a x i r o m u i l e n t a e n l a n i e b e
shd459|La CASA ESTÁ LLENA de BARRO y POLVO|l a k a s a e s t a L e n a d e b a rr o i p o l b o
shd460|Las HORAS GRATAS PASAN MUY PRONTO|l a s o r a s g r a t a s p a s a n m u i p r o n t o
shd461|CORTA la CUERDA que ATA los FARDOS de PAJA|k o r t a l a k u e r d a k e a t a l o s f a r d o s d e p a x a
shd462|La CARNE FRÍA es APTA para ESTE MENÚ|l a k a r n e f r i a e s a p t a p a r a e s t e m e n u
shd463|La SALA BLANCA ESTÁ LLENA de GENTE|l a s a l a b l a n k a e s t a L e n a d e x e n t e
shd464|La DUNA se MOVIÓ hasta el MISMO BORDE del AGUA|l a d u n a s e m o b i o a s t a e l m i s m o b o r d e d e l a g u a
shd465|LIMPIÓ el POZO con un TRAPO y un PALO LARGO|l i m p i o e l p o T o k o n u n t r a p o i u n p a l o l a r g o
shd466|VIVIÓ CINCO AÑOS con AQUEL PERRO|b i b i o T i n k o a J o s k o n a k e l p e rr o
shd467|El ARROZ se SUELE SERVIR en PLATOS HONDOS|e l a rr o T s e s u e l e s e r b i r e n p l a t o s o n d o s
shd468|CORTAN TODA la CARNE en TIRAS FINAS|k o r t a n t o d a l a k a r n e e n t i r a s f i n a s
shd469|DEBES SERVIR un RON VIEJO a los HOMBRES|d e b e s s e r b i r u n rr o n b i e x o a l o s o m b r e s
shd470|El JERSEY NUEVO CUELGA de la PERCHA MARRÓN|e l x e r s e i n u e b o k u e l g a d e l a p e r tS a m a rr o n
shd471|HAY que TENER MUCHO CALOR para SUDAR|a i k e t e n e r m u tS o k a l o r p a r a s u d a r
shd472|El TIEMPO CAMBIA MUCHO ESTE MES|e l t i e m p o k a m b i a m u tS o e s t e m e s
shd473|NO hay DUDA de por DÓNDE SOPLA el VIENTO|n o a i d u d a d e p o r d o n d e s o p l a e l b i e n t o
shd474|IZA la VELA y LLEVA el BARCO al NORTE|i T a l a b e l a i L e b a e l b a r k o a l n o r t e
shd475|HAY un TRONCO que FLOTA en el RÍO ANCHO|a i u n t r o n k o k e f l o t a e n e l rr i o a n tS o
shd476|Si PIENSAS al HABLAR DIRÁS las COSAS CLARAS|s i p i e n s a s a l a b l a r d i r a s l a s k o s a s k l a r a s
shd477|Una BERZA SIEMPRE CRECE MEJOR en la HUERTA|u n a b e r T a s i e m p r e k r e T e m e x o r e n l a g u e r t a
shd478|El PELO LARGO se PONE LISO con la LLUVIA|e l p e l o l a r g o s e p o n e l i s o k o n l a L u b i a
shd479|La DEUDA se PAGÓ en el CUARTO MES del AÑO|l a d e u d a s e p a g o e n e l k u a r t o m e s d e l a J o
shd480|A los FANS del ACTOR les GUSTA el CINE NEGRO|a l o s f a n s d e l a k t o r l e s g u s t a e l T i n e n e g r o
shd481|El JABÓN FLOTA en el AGUA FRÍA de la DUCHA|e l x a b o n f l o t a e n e l a g u a f r i a d e l a d u tS a
shd482|Las COSAS MÁS SIMPLES le HACEN FELIZ|l a s k o s a s m a s s i m p l e s l e a T e n f e l i T
shd483|El GLOBO VOLÓ MUY LEJOS con el VIENTO|e l g l o b o b o l o m u i l e x o s k o n e l b i e n t o
shd484|El MAGO TIENE un RATÓN DENTRO de la CAJA|e l m a g o t i e n e u n rr a t o n d e n t r o d e l a k a x a
shd485|La BRISA LLEGÓ hasta el OTRO LADO de la COSTA|l a b r i s a L e g o a s t a e l o t r o l a d o d e l a k o s t a
shd486|DEBE ser BUENO CREAR un CUENTO de HADAS|d e b e s e r b u e n o k r e a r u n k u e n t o d e a d a s
shd487|La CARNE de BUEY es MÁS CARA que la de CERDO|l a k a r n e d e b u e i e s m a s k a r a k e l a d e T e r d o
shd488|El GRUPO se RINDIÓ ANTES del PRIMER TIEMPO|e l g r u p o s e rr i n d i o a n t e s d e l p r i m e r t i e m p o
shd489|PISE el FRENO SIEMPRE que VAYA a PARAR|p i s e e l f r e n o s i e m p r e k e b a jj a a p a r a r
shd490|TRAE un COMPÁS BUENO para la QUINTA CLASE|t r a e u n k o m p a s b u e n o p a r a l a k i n t a k l a s e
shd491|Hasta el MÁS LENTO de TODOS LLEGÓ a la META|a s t a e l m a s l e n t o d e t o d o s L e g o a l a m e t a
shd492|PULIR una JOYA LLEVA MUCHAS HORAS|p u l i r u n a x o jj a L e b a m u tS a s o r a s
shd493|De una FORMA u OTRA QUIERE SALIR de CASA|d e u n a f o r m a u o t r a k i e r e s a l i r d e k a s a
shd494|El OLOR a POLVO SUCIO me PICA la NARIZ|e l o l o r a p o l b o s u T i o m e p i k a l a n a r i T
shd495|GUARDA TODO el CARBÓN en un SITIO SECO|g u a r d a t o d o e l k a r b o n e n u n s i t i o s e k o
shd496|La MANCHA del SUELO se HIZO con BETÚN NEGRO|l a m a n tS a d e l s u e l o s e i T o k o n b e t u n n e g r o
shd497|Los CABLES DEBEN ESTAR DENTRO de la TIERRA|l o s k a b l e s d e b e n e s t a r d e n t r o d e l a t i e rr a
shd498|La NUEVA RAMPA LLEGA a la CALLE MAYOR|l a n u e b a rr a m p a L e g a a l a k a L e m a jj o r
shd499|ANDAR con BOTAS por la NIEVE CANSA los PIES|a n d a r k o n b o t a s p o r l a n i e b e k a n s a l o s p i e s
shd500|El PRECIO es JUSTO para un BUEN RELOJ de PARED|e l p r e T i o e s x u s t o p a r a u n b u e n rr e l o x d e p a r e d
shd501|USÓ el TORNO para HACER PLANCHAS de BRONCE|u s o e l t o r n o p a r a a T e r p l a n tS a s d e b r o n T e
shd502|El BARCO se FUE a PIQUE en el RÍO de la CIUDAD|e l b a r k o s e f u e a p i k e e n e l rr i o d e l a T i u d a d
shd503|La NIEVE TIÑÓ el CÉSPED VERDE de BLANCO|l a n i e b e t i J o e l T e s p e d b e r d e d e b l a n k o
shd504|OTRA TAZA BLANCA CAYÓ al SUELO|o t r a t a T a b l a n k a k a jj o a l s u e l o
shd505|La LLAVE ENTRA BIEN en la PUERTA GRANDE|l a L a b e e n t r a b i e n e n l a p u e r t a g r a n d e
shd506|Se ROMPIÓ un CORDÓN de la BOTA ESE DÍA|s e rr o m p i o u n k o r d o n d e l a b o t a e s e d i a
shd507|LEE SÓLO lo que MARCA el COMPÁS de las NOTAS|l e e s o l o l o k e m a r k a e l k o m p a s d e l a s n o t a s
shd508|La MUJER ESTÁ MUY TRISTE HOY|l a m u x e r e s t a m u i t r i s t e o i
shd509|HAY una GRAN MANCHA de AGUA en el SUELO|a i u n a g r a n m a n tS a d e a g u a e n e l s u e l o
shd510|MOVIÓ la SILLA un POCO para ABRIR la MESA|m o b i o l a s i L a u n p o k o p a r a a b r i r l a m e s a
shd511|La CAJA de CARTÓN ESTÁ LLENA de CLAVOS|l a k a x a d e k a r t o n e s t a L e n a d e k l a b o s
shd512|Un BOLSO GRIS IRÁ BIEN con el TRAJE|u n b o l s o g r i s i r a b i e n k o n e l t r a x e
shd513|El GATO SIGUIÓ al PERRO por TODA la CALLE|e l g a t o s i g i o a l p e rr o p o r t o d a l a k a L e
shd514|CUMPLIÓ las LEYES del PAÍS sin MUCHAS GANAS|k u m p l i o l a s l e jj e s d e l p a i s s i n m u tS a s g a n a s
shd515|La CHICA NUEVA VINO AYER a la TARDE|l a tS i k a n u e b a b i n o a jj e r a l a t a r d e
shd516|El LICOR se PUEDE HACER con MORAS o FRESAS|e l l i k o r s e p u e d e a T e r k o n m o r a s o f r e s a s
shd517|El PURO DEJÓ una MANCHA NEGRA en la MESA|e l p u r o d e x o u n a m a n tS a n e g r a e n l a m e s a
shd518|El LADRÓN que ROBÓ al NIÑO FUE a la CÁRCEL|e l l a d r o n k e rr o b o a l n i J o f u e a l a k a r T e l
shd519|La TIENDA se CERRÓ ANTES de las OCHO de la TARDE|l a t i e n d a s e T e rr o a n t e s d e l a s o tS o d e l a t a r d e
shd520|El MÓVIL SONÓ PRONTO y MUY ALTO|e l m o b i l s o n o p r o n t o i m u i a l t o
shd521|El CHICO NO PUDO SALVAR a NADIE|e l tS i k o n o p u d o s a l b a r a n a d i e
shd522|Las CALLES del BARRIO son LARGAS y LLENAS de CHARCOS|l a s k a L e s d e l b a rr i o s o n l a r g a s i L e n a s d e tS a r k o s
shd523|SALIÓ FUERA a VER su GRAN JARDÍN|s a l i o f u e r a a b e r s u g r a n x a r d i n
shd524|El HOMBRE PROBÓ el MELÓN y le GUSTÓ MUCHO|e l o m b r e p r o b o e l m e l o n i l e g u s t o m u tS o
shd525|La CHICA PONE una CANCIÓN MIENTRAS HABLAN|l a tS i k a p o n e u n a k a n T i o n m i e n t r a s a b l a n
shd526|Un HOMBRE con TRAJE AZUL se SENTÓ a la MESA|u n o m b r e k o n t r a x e a T u l s e s e n t o a l a m e s a
shd527|El JARRÓN QUEDA BIEN CERCA de la PUERTA|e l x a rr o n k e d a b i e n T e r k a d e l a p u e r t a
shd528|El SUELO LIMPIO PUEDE CAUSAR GOLPES|e l s u e l o l i m p i o p u e d e k a u s a r g o l p e s
shd529|TOMA un HUEVO y un TÉ TODOS los DÍAS|t o m a u n g u e b o i u n t e t o d o s l o s d i a s
shd530|El HOMBRE PIDIÓ una TARTA de FRESAS con el CAFÉ|e l o m b r e p i d i o u n a t a r t a d e f r e s a s k o n e l k a f e
shd531|PERDIÓ el JUEGO y PEGÓ en el SUELO con la BOTA|p e r d i o e l x u e g o i p e g o e n e l s u e l o k o n l a b o t a
shd532|BAJÓ la CUESTA del MONTE con MIEDO al HIELO|b a x o l a k u e s t a d e l m o n t e k o n m i e d o a l jj e l o
shd533|La HIERBA CRECIÓ por DETRÁS de NUESTRA VERJA|l a jj e r b a k r e T i o p o r d e t r a s d e n u e s t r a b e r x a
shd534|COMPRAR una CASA no es FÁCIL en ESTOS TIEMPOS|k o m p r a r u n a k a s a n o e s f a T i l e n e s t o s t i e m p o s
shd535|El DESVÁN de la CASA ROJA ESTÁ en LLAMAS|e l d e s b a n d e l a k a s a rr o x a e s t a e n L a m a s
shd536|La OTRA PARTE del PLAN DEBE CAMBIAR|l a o t r a p a r t e d e l p l a n d e b e k a m b i a r
shd537|TIENE MUCHO VALOR LLEGAR a la FINAL|t i e n e m u tS o b a l o r L e g a r a l a f i n a l
shd538|El MONTÓN de HOJAS SECAS se PRENDIÓ FUEGO|e l m o n t o n d e o x a s s e k a s s e p r e n d i o f u e g o
shd539|La LUZ de la LUNA GUÍA al PASTOR al CORRAL|l a l u T d e l a l u n a g i a a l p a s t o r a l k o rr a l
shd540|La OLLA HIRVIÓ pero la CARNE NO se HIZO|l a o L a i r b i o p e r o l a k a r n e n o s e i T o
shd541|Los PLANES BUENOS PUEDEN FALLAR sin SUERTE|l o s p l a n e s b u e n o s p u e d e n f a L a r s i n s u e r t e
shd542|HUBO GRITOS y RISAS cuando se ABRIÓ el TELÓN|u b o g r i t o s i rr i s a s k u a n d o s e a b r i o e l t e l o n
shd543|La YEGUA TROTÓ por el CAMPO a BUEN RITMO|l a jj e g u a t r o t o p o r e l k a m p o a b u e n rr i d m o
shd544|Con un SORBO de TÉ se SIENTE MUCHO MEJOR|k o n u n s o r b o d e t e s e s i e n t e m u tS o m e x o r
shd545|HAY una MANCHA de TINTA SECA en la HOJA|a i u n a m a n tS a d e t i n t a s e k a e n l a o x a
shd546|COGE las HOJAS y las QUEMAS TODAS en el FUEGO|k o x e l a s o x a s i l a s k e m a s t o d a s e n e l f u e g o
shd547|La BARCA PARÓ de PRONTO en MEDIO del LAGO|l a b a r k a p a r o d e p r o n t o e n m e d i o d e l l a g o
shd548|Con un POCO de MIEL se HACE DULCE de LECHE|k o n u n p o k o d e m i e l s e a T e d u l T e d e l e tS e
shd549|MIRA a las CABRAS MIENTRAS el PERRO LADRA|m i r a a l a s k a b r a s m i e n t r a s e l p e rr o l a d r a
shd550|TIRA el SEDAL HACIA el BABOR del BARCO|t i r a e l s e d a l a T i a e l b a b o r d e l b a r k o
shd551|ERA una FIESTA para SACAR FONDOS para los NIÑOS|e r a u n a f i e s t a p a r a s a k a r f o n d o s p a r a l o s n i J o s
shd552|El AGUA de LLUVIA HIZO COLMAR el VASO|e l a g u a d e L u b i a i T o k o l m a r e l b a s o
shd553|El JUEZ MANDÓ CALLAR a TODA la GENTE|e l x u e T m a n d o k a L a r a t o d a l a x e n t e
shd554|TIRÓ de la CUERDA y SONÓ un TIMBRE DÉBIL|t i r o d e l a k u e r d a i s o n o u n t i m b r e d e b i l
shd555|DIO un PASO MÁS y el PUENTE se CAYÓ|d i o u n p a s o m a s i e l p u e n t e s e k a jj o
shd556|Un BUEN JABÓN DEJA la PIEL SUAVE|u n b u e n x a b o n d e x a l a p i e l s u a b e
shd557|USA el LÁPIZ para HACER el PRIMER CUENTO|u s a e l l a p i T p a r a a T e r e l p r i m e r k u e n t o
shd558|Un BOLSO de PIEL MARRÓN CUELGA de la PERCHA|u n b o l s o d e p i e l m a rr o n k u e l g a d e l a p e r tS a
shd559|Tu NIÑO es MÁS ALTO que AQUEL OTRO|t u n i J o e s m a s a l t o k e a k e l o t r o
shd560|El TERCER ACTO de ESTA OBRA fue LARGO|e l t e r T e r a k t o d e e s t a o b r a f u e l a r g o
shd561|HAY que ZANJAR TODO el TEMA de la VENTA|a i k e T a n x a r t o d o e l t e m a d e l a b e n t a
shd562|MIRA el GOLPE de BALÓN que TIENE su HIJO|m i r a e l g o l p e d e b a l o n k e t i e n e s u i x o
shd563|DESPUÉS del BAILE, la CHICA se FUE SOLA|d e s p u e s d e l b a i l e l a tS i k a s e f u e s o l a
shd564|Un TINTO es un VINO FUERTE con SABOR a FRUTA|u n t i n t o e s u n b i n o f u e r t e k o n s a b o r a f r u t a
shd565|Los MUEBLES HACEN la SALA MÁS GRANDE|l o s m u e b l e s a T e n l a s a l a m a s g r a n d e
shd566|La FLOR de la ROSA DURA POCOS DÍAS|l a f l o r d e l a rr o s a d u r a p o k o s d i a s
shd567|En la CALLE se OYÓ el RUIDO de las HOJAS SECAS|e n l a k a L e s e o jj o e l rr u i d o d e l a s o x a s s e k a s
shd568|VIO un GATO NEGRO en la CASA de su PRIMO|b i o u n g a t o n e g r o e n l a k a s a d e s u p r i m o
shd569|La PUERTA CRUJIÓ cuando ENTRÓ el HOMBRE GORDO|l a p u e r t a k r u x i o k u a n d o e n t r o e l o m b r e g o r d o
shd570|Con el PINO se HACE una BUENA CLASE de PAPEL|k o n e l p i n o s e a T e u n a b u e n a k l a s e d e p a p e l
shd571|Las PIEDRAS FALSAS BRILLAN y CUESTAN POCO|l a s p i e d r a s f a l s a s b r i L a n i k u e s t a n p o k o
shd572|Si VUELA de NOCHE, PIERDE MENOS TIEMPO|s i b u e l a d e n o tS e p i e r d e m e n o s t i e m p o
shd573|CORTA la TELA de ORO en CINTAS FINAS|k o r t a l a t e l a d e o r o e n T i n t a s f i n a s
shd574|La RAZÓN y la ACCIÓN NO SON lo MISMO|l a rr a T o n i l a a k T i o n n o s o n l o m i s m o
shd575|MUEVE su BOLSO MIENTRAS ANDA por la CALLE|m u e b e s u b o l s o m i e n t r a s a n d a p o r l a k a L e
shd576|PEGÓ en la CARA al OTRO HOMBRE con un GUANTE|p e g o e n l a k a r a a l o t r o o m b r e k o n u n g u a n t e
shd577|El LADRÓN DEJÓ VARIAS PRUEBAS del ROBO|e l l a d r o n d e x o b a r i a s p r u e b a s d e l rr o b o
shd578|SALE MUCHA AGUA por el TUBO de la CALLE|s a l e m u tS a a g u a p o r e l t u b o d e l a k a L e
shd579|GIRA el GRIFO y DEJA CORRER el AGUA|x i r a e l g r i f o i d e x a k o rr e r e l a g u a
shd580|Una TORRE de PIEDRAS se PUEDE TIRAR FÁCIL|u n a t o rr e d e p i e d r a s s e p u e d e t i r a r f a T i l
shd581|MARCA el SOLAR con un CARTEL con LETRAS en ROJO|m a r k a e l s o l a r k o n u n k a r t e l k o n l e t r a s e n rr o x o
shd582|El POTRO SALTÓ MUY BIEN la VALLA|e l p o t r o s a l t o m u i b i e n l a b a L a
shd583|El CICLO de la VIDA TIENE VARIAS FASES|e l T i k l o d e l a b i d a t i e n e b a r i a s f a s e s
shd584|El HUMO SALE de TODAS las GRIETAS de la CASA|e l u m o s a l e d e t o d a s l a s g r i e t a s d e l a k a s a
shd585|La PLANTA CRECIÓ MUCHO DETRÁS del JARDÍN|l a p l a n t a k r e T i o m u tS o d e t r a s d e l x a r d i n
shd586|QUEMÓ la ROPA de LANA con una CHISPA de FUEGO|k e m o l a rr o p a d e l a n a k o n u n a tS i s p a d e f u e g o
shd587|El HOMBRE COJO ANDA por MEDIO de la VÍA|e l o m b r e k o x o a n d a p o r m e d i o d e l a b i a
shd588|SIEMPRE nos GUSTA TENER BUEN TIEMPO|s i e m p r e n o s g u s t a t e n e r b u e n t i e m p o
shd589|El GRAN FOCO de NEÓN ROJO se CAYÓ|e l g r a n f o k o d e n e o n rr o x o s e k a jj o
shd590|El GRAN SABLE se HIZO con BRONCE PURO|e l g r a n s a b l e s e i T o k o n b r o n T e p u r o
shd591|El PASTEL de FRUTAS del BOSQUE es MUY RICO|e l p a s t e l d e f r u t a s d e l b o s k e e s m u i rr i k o
shd592|Se DEJÓ una FALDA de SEDA BLANCA en el HOTEL|s e d e x o u n a f a l d a d e s e d a b l a n k a e n e l o t e l
shd593|Los NIÑOS TOMAN SOPA de POLLO por la NOCHE|l o s n i J o s t o m a n s o p a d e p o L o p o r l a n o tS e
shd594|El VIEJO BURRO TIRÓ del FRÁGIL CARRO|e l b i e x o b u rr o t i r o d e l f r a x i l k a rr o
shd595|El BARCO NEGRO se HUNDIÓ en MEDIO del MAR|e l b a r k o n e g r o s e u n d i o e n m e d i o d e l m a r
shd596|En las ISLAS, la BRISA del MAR es SUAVE y FRESCA|e n l a s i s l a s l a b r i s a d e l m a r e s s u a b e i f r e s k a
shd597|VETE YA y PODRÁS LLEGAR a TIEMPO|b e t e jj a i p o d r a s L e g a r a t i e m p o
shd598|Una TAZA de LECHE es AGUA en su MAYOR PARTE|u n a t a T a d e l e tS e e s a g u a e n s u m a jj o r p a r t e
shd599|El HOMBRE CIEGO CUENTA CUENTOS a los NIÑOS|e l o m b r e T i e g o k u e n t a k u e n t o s a l o s n i J o s
shd600|PINTA el CUADRO con TRAZOS GRANDES y NEGROS|p i n t a e l k u a d r o k o n t r a T o s g r a n d e s i n e g r o s
shd601|MIRA lo que HACE la MUJER en ESA TIENDA|m i r a l o k e a T e l a m u x e r e n e s a t i e n d a
shd602|NO es FÁCIL VER el FONDO del POZO|n o e s f a T i l b e r e l f o n d o d e l p o T o
shd603|El TUBO NUEVO se ROMPIÓ en TRES PARTES|e l t u b o n u e b o s e rr o m p i o e n t r e s p a r t e s
shd604|LIMPIA las BOTAS ANTES de ENTRAR en CASA|l i m p i a l a s b o t a s a n t e s d e e n t r a r e n k a s a
shd605|Se TALLÓ una LARGA LISTA de NOMBRES en la BASE|s e t a L o u n a l a r g a l i s t a d e n o m b r e s e n l a b a s e
shd606|El NIÑO SACÓ la LENGUA al OTRO como BURLA|e l n i J o s a k o l a l e n g u a a l o t r o k o m o b u r l a
shd607|Le GUSTA DECIR COSAS FEAS de la GENTE|l e g u s t a d e T i r k o s a s f e a s d e l a x e n t e
shd608|En el CUENTO, la CHICA BESA una RANA VERDE|e n e l k u e n t o l a tS i k a b e s a u n a rr a n a b e r d e
shd609|La MEJOR FORMA de UNIR las HOJAS es con GRAPAS|l a m e x o r f o r m a d e u n i r l a s o x a s e s k o n g r a p a s
shd610|DILO POCO a POCO, que QUEDE CLARO|d i l o p o k o a p o k o k e k e d e k l a r o
shd611|El SEÑOR MAYOR se CAYÓ en el JARDÍN de su CASA|e l s e J o r m a jj o r s e k a jj o e n e l x a r d i n d e s u k a s a
shd612|La BLUSA BLANCA ESTÁ SUCIA de BARRO|l a b l u s a b l a n k a e s t a s u T i a d e b a rr o
shd613|GANÓ POCO en su VIDA, pero FUE FELIZ|g a n o p o k o e n s u b i d a p e r o f u e f e l i T
shd614|Cuantas MÁS COSAS QUIERE, MENOS LOGRA|k u a n t a s m a s k o s a s k i e r e m e n o s l o g r a
shd615|La VACA JOVEN se QUEDÓ en el PRADO por la NOCHE|l a b a k a x o b e n s e k e d o e n e l p r a d o p o r l a n o tS e
shd616|La YEGUA se MARCHÓ MUCHO ANTES que el POTRO|l a jj e g u a s e m a r tS o m u tS o a n t e s k e e l p o t r o
shd617|A la TARDE, el CIELO ERA de COLOR AZUL|a l a t a r d e e l T i e l o e r a d e k o l o r a T u l
shd618|Los DOS NIÑOS TIENEN la MISMA TALLA|l o s d o s n i J o s t i e n e n l a m i s m a t a L a
shd619|La PUNTA del ÁRBOL se DOBLÓ con el VIENTO FUERTE|l a p u n t a d e l a r b o l s e d o b l o k o n e l b i e n t o f u e r t e
shd620|PUEDE REÍR a PESAR de que ESTÁ TRISTE|p u e d e rr e i r a p e s a r d e k e e s t a t r i s t e
shd621|El BOTE GRANDE CAYÓ de la BALDA ALTA|e l b o t e g r a n d e k a jj o d e l a b a l d a a l t a
shd622|COGE el HILO y COSE el BOTÓN del JERSEY|k o x e e l i l o i k o s e e l b o t o n d e l x e r s e i
shd623|NO ROMPAS la NUEZ con los DIENTES o las MUELAS|n o rr o m p a s l a n u e T k o n l o s d i e n t e s o l a s m u e l a s
shd624|Un BOLLO ENTRA MUY BIEN con CAFÉ|u n b o L o e n t r a m u i b i e n k o n k a f e
shd625|El PINTOR CREE que el CUADRO es de POCO VALOR|e l p i n t o r k r e e k e e l k u a d r o e s d e p o k o b a l o r
shd626|El LAUREL se USA en MUCHOS GUISOS y SOPAS|e l l a u r e l s e u s a e n m u tS o s g i s o s i s o p a s
shd627|La OBRA se PUSO en MARCHA con una CANCIÓN LARGA|l a o b r a s e p u s o e n m a r tS a k o n u n a k a n T i o n l a r g a
shd628|MIRA DETRÁS de la TIENDA para VER la TIERRA|m i r a d e t r a s d e l a t i e n d a p a r a b e r l a t i e rr a
shd629|Las CASAS VIEJAS son de PIEDRA MUY GRUESA|l a s k a s a s b i e x a s s o n d e p i e d r a m u i g r u e s a
shd630|Cuando HACE FRÍO se PONE un GORRO de LANA|k u a n d o a T e f r i o s e p o n e u n g o rr o d e l a n a
shd631|El DOCTOR le PUDO BAJAR la FIEBRE al NIÑO|e l d o k t o r l e p u d o b a x a r l a f i e b r e a l n i J o
shd632|ESTE NIÑO JUEGA con la BARRA LARGA|e s t e n i J o x u e g a k o n l a b a rr a l a r g a
shd633|SEMBRÓ MAÍZ en ABRIL pero NO CRECIÓ|s e m b r o m a i T e n a b r i l p e r o n o k r e T i o
shd634|La CARTA de mi HIJO TIENE MUCHO PESO|l a k a r t a d e m i i x o t i e n e m u tS o p e s o
shd635|El NIÑO DEBE a su MADRE CUATRO EUROS|e l n i J o d e b e a s u m a d r e k u a t r o e u r o s
shd636|Los PATOS VUELAN HACIA un PAÍS del NORTE|l o s p a t o s b u e l a n a T i a u n p a i s d e l n o r t e
shd637|Las DOS CHICAS ESTÁN en el SALÓN de CASA|l a s d o s tS i k a s e s t a n e n e l s a l o n d e k a s a
shd638|La GORRA ERA BLANCA y MUY GRANDE|l a g o rr a e r a b l a n k a i m u i g r a n d e
shd639|El PELO de los GATOS TIENE MUCHOS NOMBRES|e l p e l o d e l o s g a t o s t i e n e m u tS o s n o m b r e s
shd640|Se USÓ la PERLA para un FINO BROCHE de PLATA|s e u s o l a p e r l a p a r a u n f i n o b r o tS e d e p l a t a
shd641|PRESTÓ su JERSEY a la MUJER FLACA y ALTA|p r e s t o s u x e r s e i a l a m u x e r f l a k a i a l t a
shd642|CONTÓ un CUENTO de BRUJAS para DARLES MIEDO|k o n t o u n k u e n t o d e b r u x a s p a r a d a r l e s m i e d o
shd643|El GATO MIRA al RATÓN con MUCHA ANSIA|e l g a t o m i r a a l rr a t o n k o n m u tS a a n s i a
shd644|Con ESTE TALÓN PUEDE PAGAR su DEUDA|k o n e s t e t a l o n p u e d e p a g a r s u d e u d a
shd645|El PULPO TIENE OCHO PATAS LARGAS|e l p u l p o t i e n e o tS o p a t a s l a r g a s
shd646|El SEÑOR SORDO SINTIÓ el MÓVIL VIBRAR|e l s e J o r s o r d o s i n t i o e l m o b i l b i b r a r
shd647|LLEVÓ las CINCO RESES a la FERIA en un CAMIÓN|L e b o l a s T i n k o rr e s e s a l a f e r i a e n u n k a m i o n
shd648|LLAMÓ al PERRO por su NOMBRE MUCHAS VECES|L a m o a l p e rr o p o r s u n o m b r e m u tS a s b e T e s
shd649|El TÉ NO se HACE con AGUA FRÍA|e l t e n o s e a T e k o n a g u a f r i a
shd650|El TRONCO del ÁRBOL CAYÓ de GOLPE en la CALLE|e l t r o n k o d e l a r b o l k a jj o d e g o l p e e n l a k a L e
shd651|LLEVA TUS DUDAS al JEFE de ÁREA|L e b a t u s d u d a s a l x e f e d e a r e a
shd652|VAMOS a DONAR ALGO para la GENTE POBRE|b a m o s a d o n a r a l g o p a r a l a x e n t e p o b r e
